名称,路径,类型,年份,体积(字节)
CFA一级JC2023.8月,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级28/CFA一级JC2023.8月,文件夹,2024,
CFA一级前导段金融英语_Sinny_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级28/CFA一级JC2023.8月/1.前导班(基础班会重讲可不听)/讲义汇总/CFA一级前导段金融英语_Sinny_打印版.pdf,文件,2024,959096
1.CFA一级强化班权益_Jcy_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级28/CFA一级JC2023.8月/3.强化班/1.Equity/1.CFA一级强化班权益_Jcy_标准版.pdf,文件,2024,915720
CFA一级强化班数量金程教育Irene标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级28/CFA一级JC2023.8月/3.强化班/4.Quantitative Methods/CFA一级强化班数量金程教育Irene标准版.pdf,文件,2024,2023135
CFA一级强化班财报金程教育TOM 标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级28/CFA一级JC2023.8月/3.强化班/5.Financial Statement Analysis/CFA一级强化班财报金程教育TOM 标准版.pdf,文件,2024,2246467
CFA一级原版书课后题（高清）_职业伦理_金程教育_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级28/CFA一级JC2023.8月/4.经典题/10.Ethical and professional standards/0.讲义/CFA一级原版书课后题（高清）_职业伦理_金程教育_打印版.pdf,文件,2024,429920
CFA一级百题预测_组合管理_金程教育（打印版）.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级28/CFA一级JC2023.8月/5.百题班/0.讲义/CFA一级百题预测_组合管理_金程教育（打印版）.pdf,文件,2024,2912848
CFA一级5月,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月,文件夹,2024,
CFA一级GD2023.5月,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/CFA一级GD2023.5月,文件夹,2024,
CFA一级JC2023.5月,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/CFA一级JC2023.5月,文件夹,2024,
CFA一级前导段数量_Vincent_打印版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/CFA一级JC2023.5月/1.前导班(基础班会重讲可不听)/讲义汇总/CFA一级前导段数量_Vincent_打印版.pdf,文件,2024,765032
CFA一级前导段金融英语_Sinny_标准版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/CFA一级JC2023.5月/1.前导班(基础班会重讲可不听)/讲义汇总/CFA一级前导段金融英语_Sinny_标准版.pdf,文件,2024,1448525
cfa一级资料包,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包,文件夹,2024,
一级CFA中文教材上册电子版.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/2022最新中文教材/一级CFA中文教材上册电子版.pdf,文件,2024,91724431
23CFA一级 kaplan qbank,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/23CFA一级 kaplan qbank,文件夹,2024,
23CFA一级notes,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/23CFA一级notes,文件夹,2024,
CFA 2023 Level I - Schweser Quicksheet.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/23CFA一级notes/CFA 2023 Level I - Schweser Quicksheet.pdf,文件,2024,2380159
CFA 2023 Level I - SchweserNotes Book 5.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/23CFA一级notes/CFA 2023 Level I - SchweserNotes Book 5.pdf,文件,2024,2837524
23CFA一级课后题,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/23CFA一级课后题,文件夹,2024,
23CFA一题目.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/23CFA一级课后题/23一级课后题 总/23CFA一题目.pdf,文件,2024,3438663
23cfa一中文,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/23cfa一中文,文件夹,2024,
CFA 一级中文教材 下册.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/23cfa一中文/CFA 一级中文教材 下册.pdf,文件,2024,180227430
CFA Level 1 知识框架图10门科目合集_removed.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/CFA Level 1 知识框架图10门科目合集_removed.pdf,文件,2024,16110472
CFA 一级试题共18部分,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/CFA 一级试题共18部分,文件夹,2024,
CFA一级中文精读手册book1-5,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/CFA一级中文精读手册book1-5,文件夹,2024,
CFA一级中文精读session（1-3）_removed.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/CFA一级中文精读手册book1-5/CFA一级中文精读session（1-3）_removed.pdf,文件,2024,48501046
CFA一级中文精读session（11-14）_removed.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/CFA一级中文精读手册book1-5/CFA一级中文精读session（11-14）_removed.pdf,文件,2024,47745632
CFA一级中文精读session（7-10）_removed.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级5月/一级资料包/cfa一级资料包/CFA一级中文精读手册book1-5/CFA一级中文精读session（7-10）_removed.pdf,文件,2024,40875421
CFA一级GD24.2,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级GD24.2,文件夹,2024,
CFA一级JC24.2,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/CFA一级JC24.2,文件夹,2024,
33-关于CFA协会 CFA称号和CFA课程.mp4,/cfa三级/CFA2级/大语文等多个文件等多个文件/2024/CFA一级2024/赠送王牌陈讲道德123级通用/33-关于CFA协会 CFA称号和CFA课程.mp4,文件,2024,608057865
CFA-L1-一级考试的数学公式表.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/最近更新2024/CFA/2024年CFA备考资料/CFA-L1-一级考试的数学公式表.pdf,文件,2024,10336411
CFA一级知识点背诵手册-03财报.pdf,/cfa三级/CFA2级/大语文等多个文件等多个文件/最近更新2024/CFA/2024年CFA备考资料/CFA一级知识点背诵手册-03财报.pdf,文件,2024,8476623
新cfa24一级,/cfa三级/新cfa24一级,文件夹,0,
"25年GD,JC一级CFA等多个文件","/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件",文件夹,0,
25年GD一级CFA,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年GD一级CFA",文件夹,0,
32.CFA协会项目参与者的行为 .mp4,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年GD一级CFA/3.王牌陈讲道德/32.CFA协会项目参与者的行为 .mp4",文件,0,346794112
33.关于CFA协会 名衔和课程 .mp4,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年GD一级CFA/3.王牌陈讲道德/33.关于CFA协会 名衔和课程 .mp4",文件,0,329273321
CFA一级模考套卷-A卷讲解,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年GD一级CFA/6.模考卷360题（有讲解）/CFA一级模考套卷-A卷讲解",文件夹,0,
CFA一级模考套卷-B卷讲解,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年GD一级CFA/6.模考卷360题（有讲解）/CFA一级模考套卷-B卷讲解",文件夹,0,
25年JC一级CFA,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA",文件夹,0,
3.CFA金融英语,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/0.工具辅导课程/3.CFA金融英语",文件夹,0,
4.CFA金融数学,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/0.工具辅导课程/4.CFA金融数学",文件夹,0,
4.CFA备考常见英语词汇,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/1.前导班/4.CFA备考常见英语词汇",文件夹,0,
5.CFA备考财务基础知识,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/1.前导班/5.CFA备考财务基础知识",文件夹,0,
2025年CFA一级王者百题_公司金融.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/4.百题班/讲义/2025年CFA一级王者百题_公司金融.pdf",文件,2025,1619873
2025年CFA一级王者百题_另类.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/4.百题班/讲义/2025年CFA一级王者百题_另类.pdf",文件,2025,1415258
2025年CFA一级王者百题_固收.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/4.百题班/讲义/2025年CFA一级王者百题_固收.pdf",文件,2025,1898941
2025年CFA一级王者百题_数量.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/4.百题班/讲义/2025年CFA一级王者百题_数量.pdf",文件,2025,1661860
2025年CFA一级王者百题_权益.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/4.百题班/讲义/2025年CFA一级王者百题_权益.pdf",文件,2025,1731894
2025年CFA一级王者百题_组合_.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/4.百题班/讲义/2025年CFA一级王者百题_组合_.pdf",文件,2025,1559373
2025年CFA一级王者百题_经济.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/4.百题班/讲义/2025年CFA一级王者百题_经济.pdf",文件,2025,1763998
2025年CFA一级王者百题_衍生.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/4.百题班/讲义/2025年CFA一级王者百题_衍生.pdf",文件,2025,1469578
2025年CFA一级王者百题_财报.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/4.百题班/讲义/2025年CFA一级王者百题_财报.pdf",文件,2025,1916572
2025年CFA一级王者百题_道德.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/4.百题班/讲义/2025年CFA一级王者百题_道德.pdf",文件,2025,799086
2025年02月CFA一级密押（上）,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/2025年02月CFA一级密押（上）",文件夹,2025,
2025年02月CFA一级密押（下）,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/2025年02月CFA一级密押（下）",文件夹,2025,
2025年02月CFA一级模考1（上）,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/2025年02月CFA一级模考1（上）",文件夹,2025,
2025年02月CFA一级模考1（下）,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/2025年02月CFA一级模考1（下）",文件夹,2025,
2025年02月CFA一级模考2（上）,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/2025年02月CFA一级模考2（上）",文件夹,2025,
2025年02月CFA一级模考2（下）,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/2025年02月CFA一级模考2（下）",文件夹,2025,
2025年CFA一级百题组卷测试（上）,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/2025年CFA一级百题组卷测试（上）",文件夹,2025,
2025年CFA一级百题组卷测试（下）,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/2025年CFA一级百题组卷测试（下）",文件夹,2025,
2025CFA一级密卷_上（答案）.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级密卷_上（答案）.pdf",文件,2025,597102
2025CFA一级密卷_上（题目）.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级密卷_上（题目）.pdf",文件,2025,413428
2025CFA一级密卷_下（答案）.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级密卷_下（答案）.pdf",文件,2025,494940
2025CFA一级密卷_下（题目）.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级密卷_下（题目）.pdf",文件,2025,362233
2025CFA一级模考A1答案.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级模考A1答案.pdf",文件,2025,471338
2025CFA一级模考A1题目.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级模考A1题目.pdf",文件,2025,253383
2025CFA一级模考A2答案.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级模考A2答案.pdf",文件,2025,535687
2025CFA一级模考A2题目.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级模考A2题目.pdf",文件,2025,242279
2025CFA一级模考B1答案.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级模考B1答案.pdf",文件,2025,436547
2025CFA一级模考B1题目.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级模考B1题目.pdf",文件,2025,260592
2025CFA一级模考B2答案.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级模考B2答案.pdf",文件,2025,474201
2025CFA一级模考B2题目.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/6.冲刺模考/讲义/2025CFA一级模考B2题目.pdf",文件,2025,238610
CFA一级科目权重_金程（适用于25年考纲）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/前导讲义/CFA一级科目权重_金程（适用于25年考纲）_Password_Removed.pdf",文件,0,61525
CFA一级强化公金_王慧琳_金程（打印版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化公金_王慧琳_金程（打印版）_Password_Removed.pdf",文件,0,1924941
CFA一级强化公金_王慧琳_金程（标准版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化公金_王慧琳_金程（标准版）_Password_Removed.pdf",文件,0,1651005
CFA一级强化另类_韩霄_金程（打印版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化另类_韩霄_金程（打印版）_Password_Removed.pdf",文件,0,1417897
CFA一级强化另类_韩霄_金程（标准版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化另类_韩霄_金程（标准版）_Password_Removed.pdf",文件,0,1762752
CFA一级强化固收_林正_金程（打印版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化固收_林正_金程（打印版）_Password_Removed.pdf",文件,0,1922019
CFA一级强化固收_林正_金程（标准版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化固收_林正_金程（标准版）_Password_Removed.pdf",文件,0,3171751
CFA一级强化数量_王慧琳_金程（打印版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化数量_王慧琳_金程（打印版）_Password_Removed.pdf",文件,0,900484
CFA一级强化数量_王慧琳_金程（标准版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化数量_王慧琳_金程（标准版）_Password_Removed.pdf",文件,0,1530328
CFA一级强化权益_韩霄_金程（打印版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化权益_韩霄_金程（打印版）_Password_Removed.pdf",文件,0,648210
CFA一级强化权益_韩霄_金程（标准版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化权益_韩霄_金程（标准版）_Password_Removed.pdf",文件,0,2163384
CFA一级强化班_经济学_林正（打印版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化班_经济学_林正（打印版）_Password_Removed.pdf",文件,0,2236078
CFA一级强化班_经济学_林正（标准版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化班_经济学_林正（标准版）_Password_Removed.pdf",文件,0,2761077
CFA一级强化组合_王慧琳_金程（打印版）_Password_Removed.pdf,"/cfa三级/新cfa24一级/25年GD,JC一级CFA等多个文件/25年JC一级CFA/讲义汇总/强化串讲讲义/CFA一级强化组合_王慧琳_金程（打印版）_Password_Removed.pdf",文件,0,606427
